下列各组变化类型相同的是（ ）,干馏和分馏,裂化和裂解,煤的气化和海水的蒸馏,蛋白质的变性和盐析,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/399a287783daacc2a136cf59c722_11507924ex.png,
下列实验操作或实验事实与物质化学性质无关的是（ ）,氯水长时间放置酸性增强,漂白粉放置在空气中失效,用加热的方法分离碘和氯化钠固体,用氯水和四氯化碳鉴别Cl<sup>-</sup>、Br<sup>-</sup>、I<sup>-</su,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/60e154dee064c6ca251667f1c50e_13866080ex.png,
下列变化中，属于物理变化的是 （ ）,光合作用,牛奶变酸,铁熔化成“铁水”,木材燃烧,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/eab17cc57daed33f9a08393c480b_13910586ex.png,
根据化学反应的实质是旧键断裂、新键形成的观点，下列变化没有发生化学键断裂的是（ ）,溴蒸气被活性炭吸附,电解水,HCl气体溶解于水,打雷放电时，O<sub>2</sub>变成O<sub>3</sub,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0dce877f6ca938c2641c0675c698_11569316ex.png,
以下变化是化学变化的是（ ）,升华,潮解,风化,萃取,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4fb937e5810fbee1e41a241a2ac0_16782047ex.png,
下列过程中，涉及化学变化的是 ( ),四氯化碳萃取碘水中的碘,生石灰被用作干燥剂后失效,过滤除去粗盐中的不溶性杂质,蒸馏法将海水淡化为饮用水,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/216aa4997176d358b7f744964f09_13866512ex.png,
从化学键的观点看，化学反应的实质是“旧键的断裂，新键的形成”，据此你认为下列变化属于化学反应的是（ ）,对空气进行降温加压,金刚石变成石墨,NaCl熔化,碘溶于CCl<sub>4</sub>中,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0cf7abe3329b49b56c92d5a8a5ec_794936ex.png,
下列关于煤和石油的加工过程属于物理变化的是（ ）,煤的干馏,煤的汽化和液化,石油的分馏,石油的裂化和裂解,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/edfe7d7fa196df16fcd510f7e198_11569108ex.png,
在化学变化中，会发生变化的是（ ）,质子数,中子数,电子数,质量数,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/843e30618865ad7f916b6968e1b8_792070ex.png,
下列变化中，属于物理变化的是（ ）  ①石油的分馏②煤的干馏③石油的裂化④铝热反应⑤由乙烯变为聚乙烯⑥氧气转变为臭氧⑦乙烯催熟果实⑧苯遇溴水⑨海水蒸馏法制取淡水．,①②③④,①②⑤⑦,①⑧⑨,①②⑥⑨,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d69acc98973018eb2ad837f9a140_3652168ex.png,
下列变化属于化学变化的是（ ）,碘的升华,金属的焰色反应,液溴的气化,漂白粉久置失效,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/904458692de9a1ef831716026bae_3430994ex.png,
下列变化过程与化学反应无关的是( ),苯与溴水混合振荡后，溴水层接近无色,酸性高锰酸钾溶液中通入乙烯，溶液紫红色褪去,光照条件下甲烷与氯气混合气体的颜色变浅,苯乙烯使溴的四氯化碳溶液褪色,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1027ae5947676c552556cc8ec2b0_11432722ex.png,
下列变化中，属于物理变化的是（ ）,煤的干馏,石油的分馏,石油的裂解,蛋白质变性,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d204c0f927544408e7b78b5fb3e6_11432230ex.png,
下列物质的提纯方法可能属于化学变化的是 ）,蒸馏,渗析,过滤,洗气,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5dd88c4cf8d9dcf4053c645e8c30_3517510ex.png,
下列变化不属于化学变化的是（ ）,石油分馏,煤干馏,石油裂解,皂化反应,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a2f25ebefa3592e4b32a450d1f14_11507572ex.png,
下列过程一定发生化学变化的是（　　）,萝卜风干,苹果冷藏,葡萄酿酒,甘蔗榨汁,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/aecb30ed7091a01b59a5808e44e0_2425861ex.png,
下列过程没有发生化学反应的是（ ）,用活性炭去除冰箱中的异味,用热碱水清除炊具上残留的油污,用浸泡过高锰酸钾溶液的硅藻土保鲜水果,用含硅胶、铁粉的透气小袋与食品一起密封包装,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a6a5c71fcf137a2df19e9538050e_3577843ex.png,
下列过程属于物理变化的是（ ）,钢铁生锈,干冰升华,臭氧消毒,食物腐败,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b5ce58e08bab36d275f26728d413_6630033ex.png,
生活中的下列现象，属于化学变化的是（　　）,玻璃破碎,冰雪融化,食物腐败,衣服晾干,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0398f9a0858403061e6a122e9cf4_2425860ex.png,
我们每天生活在不断变化的物质世界里，以下属于化学变化的是（　　）,冰雪融化,干冰升华,蜡烛燃烧,酒精挥发,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4d4c45f57fab6ebad29cb73b2c08_6087275ex.png,
关于下列诗句或谚语，说法不正确的是（　　）,“忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关,“水乳交融，火上浇油”前者包含物理变化，而后者包含化学变化,“滴水石穿、绳锯木断”不包含化学变化,“落汤螃蟹着红袍”肯定发生了化学变化,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d905740deca4e2bb7aa700543417_2425827ex.png,
可以用来分离蛋白质与食盐溶液的方法是（　　）,电泳,过滤,渗析,分液,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/11332fd18f3506a1560aad791c6b_2324686ex.png,
下列叙述不正确的是(　　),天然气的主要成分是甲烷，是一种清洁、不可再生的化石燃料,煤的干馏、气化和液化都发生了化学变化,石油的分馏、裂化和裂解都发生了化学变化,煤干馏和石油分馏都能获得烃类物质,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3cfd4ecce06e1b59cc8889d2f0fa_6766409ex.png,
下列有关化学实验的说法中，不正确的是（　　）,可用渗析的方法除去淀粉胶体中的Na<sup>+</su,中和滴定前必须排尽滴定管中的气泡,CO和NO都不能用排空气法收集,过滤时如果很慢，可用玻璃棒搅拌漏斗中的悬浊液,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/157d404b1e555949024ba829d1d7_2324685ex.png,
下列石油的炼制和加工过程，属于物理变化的是(　　),分馏,重整,裂化,裂解,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0d4ed02f07243593a40af2df5d8d_6766407ex.png,
根据化学反应的实质是旧键断裂、新键形成这一观点，下列变化不属于化学反应的是（ ）,干冰气化,氧气转化成臭氧,二氧化碳溶于水,加热碳酸氢铵,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1a650e28fd1fa917d2c02bf7a85b_13472170ex.png,
下列过程属于化学变化的是（　　）,矿石粉碎,海水晒盐,生铁冶炼,水果榨汁,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/2fc4132d1540a74056b7d8252d2d_2425864ex.png,
下列过程不涉及化学变化的是（　　）,高炉炼铁,海水蒸馏,石油裂解,煤的干馏,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3dfd18e02844e3a0005b8bedd0f6_2425803ex.png,
实验室用渗析的方法分离淀粉和食盐的混合液，其装置如图所示．Na+与Cl﹣能穿过半透膜进入烧杯，而淀粉高分子则留在半透膜袋中．下列分离混合物的方法中，与渗析操作的原理相似的是（　　）,用萃取分液的方法分离溴和水,用层析的方法分离溶液中的Cu<sup>2+</sup>和Fe<sup>3+</su,用蒸馏的方法分离甲醇和乙醇,用过滤的方法分离碳酸钙固体和氯化钙溶液,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/83a5da7a53086b0159be1f1851dc_2324664ex.png,
已知Fe（OH）3胶体微粒能吸附Fe3+离子．将制得的Fe（OH）3胶体装入半透膜袋中，并浸没在盛有蒸馏水的烧杯中．隔一段时间后，烧杯里的水中含有的离子最多的是（　　）,H<sup>+</sup>、OH<sup>﹣</su,H<sup>+</sup>、Cl<sup>﹣</su,Fe<sup>3+</sup>、Cl<sup>﹣</su,Fe<sup>3+</sup>、OH<sup>﹣</su,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b3111f3c4ddedb6c751948d8dbd9_2324661ex.png,
下列诗句或谚语都与化学现象有关，下列说法错误的是（ ）,“忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关,“落汤螃蟹着红袍”肯定发生了化学变化,“滴水石穿”包含化学变化，而“绳锯木断”则不包含化学变化,“卤水点豆腐，一物降一物”发生了化学反应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a6aae220ddf4ccf269fdfd20d1c1_13471554ex.png,
下列变化过程中，没有发生化学变化的是（ ）,铁的钝化,光合作用,碘的升华,燃放烟花,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2857781990ee1a38885b7052822_3517974ex.png,
下列诗句或谚语可能与化学反应有关，其中说法正确的是 （ ）,“水乳交融，火上浇油”前者包含物理变化，后者包含化学变化,“滴水石穿．绳锯木断”不包含化学变化,“蜡炬成灰泪始干”包含的是物理变化,石灰吟中“烈火焚烧若等闲”指的是加热，不包含化学变化,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/073fe1e25c2eccac4b9179aa886d_3238253ex.png,
下列过程发生化学变化的是（　　）,酒香扑鼻,蜡烛照明,用金刚石切割玻璃,太阳能供热,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4941ce54d938f9770438b0c0e82e_2425858ex.png,
