已知集合  ，   ， 则B中所含元素的个数为( ),2,3,4,6,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/xwg4r1pf5dv.png,1pf5dv.png
下列各项中不能构成集合的是（　　）,1～20以内的所有自然数,所有长方形,小于10的所有自然数,某班的高个子学生,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/e42ftqbhrj4.png,qbhrj4.png
已知集合M={﹣1，0，1}，则下列关系式正确的是（ ）,{0}∈M,{0}M,0∈M,0M,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/de4wdr1rwbj.png,r1rwbj.png
下列所给的对象能构成集合的是（ ）,2019 届的优秀学生,高一数学必修一课本上的所有难题,遵义四中高一年级的所有男生,比较接近 1 的全体正数,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/tcsyusslixv.png,sslixv.png
已知集合M={（x，y）|27x=  3y}，则下列说法正确的是（ ）,（3，5）∈M,（1，5）∈M,（﹣1，1）∈M,﹣1∈M,B,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/3o2rcvubeh3.png,vubeh3.png
已知集合A={x|3﹣3x＞0}，则下列正确的是（ ）,3∈A,1∈A,0A,﹣1∈A,D,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/oxvtij1jea2.png,j1jea2.png
已知集合A={x∈N|1＜x＜log2k}，若集合A中至少有4个元素，则（ ）,k＞32,k≥32,k＞16,k≥16,A,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/kdckn5hxhl0.png,5hxhl0.png
设集合S={}，在S上定义运算为：其中k为i+j被4除的余数，i、j=0,1,2,3.满足关系式的x(x∈S)的个数为（）,4,3,2,1,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/tjjaeci2u1b.png,ci2u1b.png
若集合，则下列结论中正确的是( ),img src="/files/attach/files/content/2019/1031/3hdlbysiqeq.png",img src="/files/attach/files/content/2019/1031/ctvdg0qtlba.png",img src="/files/attach/files/content/2019/1031/lgb54fouaeo.png",img src="/files/attach/files/content/2019/1031/ktj5ibh32si.png",C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/goy2b1jv3dq.png,1jv3dq.png
函数f(x)=[x]的函数值表示不超过x的最大整数，  例如：[-3.5]=-4，[2.1]=2  已知  定义在R上的函数g(x)=[x]+[2x],  若A={y|y=g(x),0≤x≤1},  则A中所有元素的和为 （ ）,1,3,4,6,C,https://gz.shuatiw.com/ias/attach/files/content/2019/1031/cuin54dwvlt.png,4dwvlt.png
