题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,
下列关于质点的说法正确的是（ ）,质点是客观存在的一种物体，其体积比分子还小,很长的火车一定不可以看做质点,给正在参加吊环比赛的陈一冰打分时，裁判们可以把陈一冰看做质点,若物体的形状和大小对所研究的问题无影响，即可把物体看做质点,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ce2abd5789f43b844a7f3c8b2919_10026926ex.png,b844a7f3c8b2919_10026926ex.png,,,,,
关于质点下列说法正确的是（）,凡是轻小的物体，都可以看作质点,质点是一个理想化的模型，实际上并不存在,研究一列火车通过某一站台所用的时间时可以看作质点,裁判员给跳水运动员打分时可以看作质点,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/11dbc1fbd33667c2b2df6239259e_1021685ex.png,67c2b2df6239259e_1021685ex.png,,,,,
关于质点，下列说法正确的是（）,任何静止的物体都可以视为质点,研究电子自旋时，电子可以视为质点,在平直的高速公路上行驶的小汽车，可视为质点,质点是一个无大小形状的理想化模型，和几何点是一样的,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/776e5d3e2fdad88c5ceebe5a62e2_1021384ex.png,d88c5ceebe5a62e2_1021384ex.png,,,,,
下面叙述正确的是（）,在研究某一问题是，物体可视为质点，那么在研究另一个问题时，该物体也一定可视为质点。,研究物体的运动，必须选定参考系。,匀速运动的质点的运动轨迹一定是直线。,在相等的时间内通过的路程相等的运动一定是匀速直线运动。,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/314a6fa2c150d0ccb23a8db86a7d_1009699ex.png,d0ccb23a8db86a7d_1009699ex.png,,,,,
下列情况下的物体可以看做质点的是（ ）,研究孙杨在里约奥运会游泳比赛中的手脚动作时,研究“八一”飞行队做特技飞行表演的飞机时,研究帆船手郭川横渡太平洋过程中所在位置时,研究“蛟龙号”深海采集硫化物“烟囱”碎片时,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/98684e9357ad29723c687f9016bd_3391451ex.png,29723c687f9016bd_3391451ex.png,,,,,
歌词“小小竹排江中游，巍巍青山两岸走”中，“青山”运动的参考系是（）,两岸,竹排,青山,岸边的树,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/789d8b1d9ee8b8d7777e1af4e568_1019120ex.png,b8d7777e1af4e568_1019120ex.png,,,,,
下列关于质点的说法中正确的是（ ）,凡轻小的物体皆可看作质点,只有体积很小的物体才能看作质点,研究地球绕太阳公转时可以将地球看作质点,研究某学生骑车姿势的变化时可以把学生和车看作质点,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4f60beddc2a3686187e35ccc9231_8093425ex.png,686187e35ccc9231_8093425ex.png,,,,,
坐在行驶列车里的乘客，看到铁轨两旁的树木迅速的后退，“行驶的列车”和“树木迅速后退”的参考系分别是（）,地面、地面,地面、列车,列车、列车,列车、地面,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a19e821cdacf6876a64f617ff68e_1008853ex.png,6876a64f617ff68e_1008853ex.png,,,,,
研究以下运动时，对应物体可以当作质点的是( ),石块从高处自由落下,地球自转的效应,花样滑冰运动员的动作表现,火车过桥的时间,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/69d5eb4677772749b23cc2211557_8244143ex.png,2749b23cc2211557_8244143ex.png,,,,,
下列运动中的物体，能被看做质点的是（ ）,研究地球的自转,研究电风扇叶片的旋转,评判在冰面上花样滑冰运动员的动作,计算火车从北京到上海的时间,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c136069e15582607e7f02ed04e4c_10145696ex.png,607e7f02ed04e4c_10145696ex.png,,,,,
下列关于质点的说法中，正确的是（ ）,体积很小的物体都可看成质点,质量很小的物体都可看成质点,不论物体的质量多大，只要物体的尺寸对所研究的问题没有影响或影响可以不略不计，就可以看成质点,只有低速运动的物体才可看成质点，高速运动的物体不可看作质点,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/19b80c74d31d0fb0e8a8cfa0e4a1_3391418ex.png,0fb0e8a8cfa0e4a1_3391418ex.png,,,,,
如图所示是体育摄影中“追拍法”的成功之作，摄影师眼中清晰的运动员是静止的，而模糊的背景是运动的，摄影师用自己的方式表达了运动的美．请问摄影师选择的参考系是( ),大地,太阳,运动员,步行的人,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ca272bcdd0e371f04811fcf1c3c3_1019495ex.png,71f04811fcf1c3c3_1019495ex.png,,,,,
在下列情况的研究过程中，可以将被研究物体看作质点的是（ ）,研究一列火车从广安开往成都的轨迹,研究街舞比赛中某参赛者的动作,研究子弹穿过一张薄纸所需的时间,研究小木块的翻倒过程,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/1e6b432e59862450e216065fd0a9_5566679ex.png,2450e216065fd0a9_5566679ex.png,,,,,
下列情况中的物体，可以看作质点的是（ ）,研究汽车后轮转动时的汽车,体育教练员研究百米赛跑运动员起跑动作,研究从北京开往上海一列火车的运行速度,研究地球自转时的地球,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/03464a89571f0accdd4f332ee2bd_6321317ex.png,0accdd4f332ee2bd_6321317ex.png,,,,,
以下几种关于质点的说法，你认为正确的是（ ）,只有体积很小或质量很小的物体才可以看作质点,只要物体运动得不是很快，物体就可以看作质点,质点是一种特殊的实际物体,物体的大小和形状在所研究的问题中起的作用很小，可以忽略不计时，可把它看作质点,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3c662443b2d1c0c3fba37901a57b_4703038ex.png,c0c3fba37901a57b_4703038ex.png,,,,,
在以下的情况中可将研究对象看成质点的是（）,一枚硬币用力上抛，猜测它落地时是正面朝上还是反面朝上,对骑自行车的同学骑车姿势进行生理学分析,分析跳水运动员在跳水比赛中技术特点,分析奥运会冠军邢慧娜在万米长跑中各段所用时间,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/63f3f3b221127d51b7dd46dc089a_1006288ex.png,7d51b7dd46dc089a_1006288ex.png,,,,,
关于质点，下列说法正确的是（ ）,地球不能看做质点，而原子核可以看做质点,研究火车通过路旁一根电线杆时，火车可看做质点,研究飞行中直升机螺旋桨的转动情况，螺旋桨可看做质点,研究绕地球转动的人造地球卫星，卫星可看做质点,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/791ac5865c5573a6288e4fe60cb4_3591242ex.png,73a6288e4fe60cb4_3591242ex.png,,,,,
下列关于质点的理解与判断的说法中正确的是（ ）,体积小的物体都能看成质点,质量巨大的物体都不能看成质点,观察“嫦娥二号”发射过程某时刻到达的位置时，可将其视为质点,研究第16届亚运会火炬传递路线时，火炬不可以视为质点,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c7c570339805c5dfab1d067cdf89_3925030ex.png,c5dfab1d067cdf89_3925030ex.png,,,,,
明代诗人曾写下这样一首诗：“空手把锄头，步行骑水牛；人在桥上走，桥流水不流”。其“桥流水不流”中的“桥流”应理解成其选择的参考系是（ ）,桥,水,人,地面,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ee754f6c30aa89679d8ec2e65995_12186724ex.png,9679d8ec2e65995_12186724ex.png,,,,,
下列叙述中，正确的是（ ）,参考系必须是地面，否则会引起混淆,研究某个物体的运动，选取不同的参考系描述的情况可能不同,研究物体的运动，可以不借助参考系,物体的运动是客观的，研究时不必选取参考系,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7307f19eb071916391dc69e3ce2d_1003383ex.png,916391dc69e3ce2d_1003383ex.png,,,,,
关于质点，以下说法正确的是（ ）,质量和体积都很大的物体有时也能看成质点,体积很小的物体都可以看成质点．,只有质量和体积都很小的物体才能看成质点,质量很小的物体都可以看成质点,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/93e9cf77f8e7109a2ae4c2c534f6_3074744ex.png,109a2ae4c2c534f6_3074744ex.png,,,,,
在不需要考虑物体本身的大小和形状时，可以把物体简化为一个有质量的点，即质点．物理学中，把这种在原型的基础上，突出问题的主要方面，忽略次要因素，经过科学抽象而建立起来的客体称为（ ）,控制变量,理想模型,等效代替,科学假说,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a55ccc4a1e5a6620fce791bec95c_3505225ex.png,6620fce791bec95c_3505225ex.png,,,,,
平直公路上汽车甲中的乘客看见窗外树木向东移动，恰好此时看见另一汽车乙从旁边匀速向西行驶，此时公路上两边站立的人观察的结果是（ ）,甲车向东运动，乙车向西运动,乙车向西运动，甲车不动,甲车向西运动，乙车向东运动,两车均向西运动，乙车速度大于甲车,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d8f05778f691552883833c73fcd0_8474054ex.png,552883833c73fcd0_8474054ex.png,,,,,
关于质点和参考系，下列说法中正确的是（）,质点就是体积很小的点,研究人造地球卫星绕地球一周的时间时，卫星可以被看作质点,只有静止的物体才可以被选做参考系,“小小竹排水中游，巍巍青山两岸走。”歌词中“巍巍青山两岸走”是以河岸为参考系,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b9095e66ce15c4d5c472c365e91f_1015834ex.png,c4d5c472c365e91f_1015834ex.png,,,,,
在研究体育比赛中运动员的运动特点时，下列运动员可以当做质点处理的是(　　),研究姚明在扣篮的动作时,研究李小鹏在双杆上比赛的动作时,研究菲尔普斯100米自由泳触壁的瞬间,记录某马拉松运动员在比赛过程中各时刻的位置时,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/651ead4184c82f998cf00475ef01_1020835ex.png,2f998cf00475ef01_1020835ex.png,,,,,
下列情况中的物体，能看作质点的是 （）,太空中绕地球运行的卫星,做花样滑冰动作的运动员,研究地球自转规律时的地球,研究体操运动员在平衡木上的动作时,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/04ab18924e63a8b53b13df49d991_1022117ex.png,a8b53b13df49d991_1022117ex.png,,,,,
2017年11月，第十二届中国国际航空航天博览会在广东珠海如期举行，博览会还迎来了英国皇家空军“红箭”特技飞行表演队的中国航展首秀。如图所示，9架表演机保持队形不变飞过观礼台。下列关于“红箭”特技飞行表演的说法正确的是(　　 ),地面上的人看到飞机飞过，是以飞机为参考系,飞行员看到观礼台向后掠过，是以地面为参考系,以编队中某一飞机为参考系，其他飞机是静止的,以编队中某一飞机为参考系，其他飞机是运动的,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/25c162aa217311a0955987f56d4a_8474400ex.png,11a0955987f56d4a_8474400ex.png,,,,,
下列运动中的物体，能被看做质点的是（ ）,研究地球的自转,研究电风扇叶片的旋转,评判在冰面上花样滑冰运动员动作,计算火车从北京到上海的时间,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7b194a9a9f65269d61a4ce125748_4706286ex.png,269d61a4ce125748_4706286ex.png,,,,,
我国研制并自行发射的同步卫星，是无线电波传播的中继站，这类卫星需绕地心转动，但我们却觉得它在空中静止不动，这是因为我们所选择的参考系是(　　),太阳,月亮,地球,宇宙飞船,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5fc48c3fdb59759f03636767eef4_1011396ex.png,759f03636767eef4_1011396ex.png,,,,,
下列情况中的物体，可以看作质点的是（ ）,研究地球的自转,研究一列火车的进站时间,研究一列火车从昆明开往丽江的运行时间,研究直升飞机上螺旌桨的转动情况,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e4f667ad3af6c14cf870a6055e06_8008031ex.png,c14cf870a6055e06_8008031ex.png,,,,,
在研究下述运动时，能把物体看做质点的是,研究跳水运动员在空中的跳水动作时,研究飞往火星的火星探测器最佳运行轨道时,研究太阳发生日食现象时,研究天宫一号和神舟八号实现交会对接时,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6c14dacfdf13eaabcd7951f4969c_1019233ex.png,eaabcd7951f4969c_1019233ex.png,,,,,
在火车上的乘客看到车内的人都静止，他选择参考系（ ）,他乘坐的火车,迎面驶来的火车,路旁的房屋,路旁的树木,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c783f3af7f6288f0fb476e595fd0_3073893ex.png,88f0fb476e595fd0_3073893ex.png,,,,,
下列诗句描绘的情景中，含有以流水为参考系的是（ ）,孤帆远影碧空尽，唯见长江天际流,白日依山尽，黄河入海流,飞流直下三千尺，疑是银河落九天,人在桥上走，桥流水不流,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4efbeb92dd540f13931e6193b822_4687654ex.png,0f13931e6193b822_4687654ex.png,,,,,
下列情况中，画横线的物体可以看成质点的是（ ）,研究“神舟十一号”和“天宫二号”如何对接,研究一列从成都开往北京的火车的位置变化情况,研究竞走运动员在参赛过程中是否犯规,研究在校运会上跳高运动员的过杆动作,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f00c03730d98f542bebb2496e1b3_5237795ex.png,f542bebb2496e1b3_5237795ex.png,,,,,
